id,company,position,role_track,location,industry,Job_Description
16,Coda Payments,Financial Reporting Analyst,Finance,Singapore,Fintech SME,"Coda Payments is seeking a Financial Reporting Analyst. You will prepare monthly financial statements using Excel, build financial models to track revenue performance, assist in MAS-compliant regulatory filings, and reconcile revenue data between payment systems and accounting records. Requirements: Degree in Accounting or Finance. Strong Excel and financial modelling. Familiarity with MAS compliance reporting. Strong attention to accuracy."
17,Nium,Finance Operations Analyst,Finance,Singapore,Fintech SME,"Nium is seeking a Finance Operations Analyst. You will prepare monthly financial reconciliation reports using Excel, build financial models to track cross-border payment revenue and cost margins, assist in MAS regulatory submissions, and maintain compliance tracking documentation. Requirements: Degree in Finance or Accounting. Strong Excel including financial modelling. Knowledge of MAS regulatory requirements. Compliance-oriented."
18,Syfe,Investment Finance Analyst,Finance,Singapore,Fintech SME,"Syfe is seeking an Investment Finance Analyst. You will build and maintain Excel financial models to track portfolio performance and fee revenue, prepare monthly investor reporting, assist in MAS regulatory filings, and reconcile financial data between the investment platform and custodian records. Requirements: Degree in Finance or Economics. Strong Excel and financial modelling. Familiarity with MAS regulatory and compliance reporting."
19,Instarem,Compliance Finance Analyst,Finance,Singapore,Fintech SME,"Instarem is seeking a Compliance Finance Analyst. You will prepare transaction data for MAS regulatory submissions using Excel, maintain compliance tracking sheets, assist in AML reporting, and document financial data lineage for audit purposes. Requirements: Degree in Finance or Accounting. Strong Excel. Familiarity with MAS compliance and AML reporting requirements. Detail-oriented."
20,StashAway,Finance Business Analyst,Finance,Singapore,Fintech SME,"StashAway is seeking a Finance Business Analyst. You will build financial models in Excel to evaluate new product economics, prepare monthly financial performance reports, assist in MAS regulatory filings, reconcile financial and operational data, and support budgeting and forecasting. Requirements: Degree in Finance or Business. Strong Excel and financial modelling. Familiarity with MAS regulatory requirements. Analytical mindset."
21,Matchmove,Operations Analyst,Operations,Singapore,Fintech SME,"Matchmove is seeking an Operations Analyst. You will monitor daily payment transaction volumes using Power BI dashboards, maintain Excel-based operational trackers for client onboarding and settlement status, prepare weekly operational reports, and map and document key operational processes to identify bottlenecks. Requirements: Degree in Business or Operations Management. Strong Excel. Familiarity with Power BI. Process mapping and documentation skills. Detail-oriented."
22,YouTrip,Payments Operations Analyst,Operations,Singapore,Fintech SME,"YouTrip is seeking a Payments Operations Analyst. You will monitor daily card transaction data using Power BI dashboards, maintain Excel trackers for operational KPIs, prepare monthly MAS regulatory reports, and document standard operating procedures for recurring operational tasks. Requirements: Degree in Business or Finance. Strong Excel. Familiarity with Power BI. Process mapping experience preferred."
23,Liquid Group,Operations Reporting Analyst,Operations,Singapore,Fintech SME,"Liquid Group is seeking an Operations Reporting Analyst. You will prepare weekly and monthly operational performance reports using Excel and Power BI, document and map key business processes, maintain compliance reporting trackers, and support MAS regulatory submissions. Requirements: Degree in Business or Operations Management. Strong Excel and Power BI. Process mapping and reporting experience. Compliance documentation skills."
24,Razer Fintech,Compliance Operations Analyst,Operations,Singapore,Fintech SME,"Razer Fintech is seeking a Compliance Operations Analyst. You will monitor operational compliance KPIs using Power BI dashboards, maintain Excel trackers for AML alert rates, prepare MAS compliance reports, and document compliance operational workflows. Requirements: Degree in Business or Information Systems. Strong Excel. Familiarity with Power BI. Process mapping and compliance documentation experience."
25,Fazz Financial,Business Operations Analyst,Operations,Singapore,Fintech SME,"Fazz Financial is seeking a Business Operations Analyst. You will maintain operational performance dashboards in Power BI, prepare monthly operations reports using Excel, map and document business processes for payment and lending operations, and assist in MAS regulatory submissions. Requirements: Degree in Business or Operations. Strong Excel and Power BI. Process mapping experience. Compliance reporting awareness."
26,Aspire,Operations Process Analyst,Operations,Singapore,Fintech SME,"Aspire is seeking an Operations Process Analyst. You will map and document end-to-end operational workflows for payment processes, maintain Excel and Power BI dashboards tracking operational KPIs, prepare weekly operational reports, and identify process bottlenecks. Requirements: Degree in Business or Information Systems. Strong Excel. Familiarity with Power BI. Process mapping experience. Detail-oriented."
27,Funding Societies,Lending Operations Analyst,Operations,Singapore,Fintech SME,"Funding Societies is seeking a Lending Operations Analyst. You will monitor daily loan disbursement and repayment operations using Power BI dashboards, maintain Excel trackers for operational KPIs, prepare weekly reports, and document lending process workflows. Requirements: Degree in Business or Finance. Strong Excel. Familiarity with Power BI. Process mapping and operational documentation preferred."
28,Kredivo,Consumer Operations Analyst,Operations,Singapore,Fintech SME,"Kredivo is seeking a Consumer Operations Analyst. You will maintain Power BI dashboards tracking customer operations KPIs, prepare monthly operational reports using Excel, document and map consumer lending workflows, and support MAS compliance reporting. Requirements: Degree in Business or Information Systems. Strong Excel and Power BI. Process mapping experience. Compliance reporting awareness."
29,Instarem,Settlement Operations Analyst,Operations,Singapore,Fintech SME,"Instarem is seeking a Settlement Operations Analyst. You will monitor daily FX settlement operations using Power BI dashboards, maintain Excel trackers for settlement failure rates, prepare weekly settlement reports, and document settlement process workflows. Requirements: Degree in Business or Finance. Strong Excel. Familiarity with Power BI. Process documentation experience."
30,Nium,Global Operations Analyst,Operations,Singapore,Fintech SME,"Nium is seeking a Global Operations Analyst. You will maintain operational KPI dashboards in Power BI tracking corridor performance, prepare weekly and monthly operational reports using Excel, map end-to-end payment processing workflows, and support MAS compliance reporting. Requirements: Degree in Business or Information Systems. Strong Excel and Power BI. Process mapping experience. Compliance reporting awareness."
